AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT3G03190	GSTF11	glutathione S-transferase F11	0.62	3.3E-04	1.65	4.8E-39	red
AT1G28600		GDSL-like Lipase/Acylhydrolase superfamily protein	0.62	1.1E-10	1.33	7.2E-12	red
AT1G49530	GGPS6	geranylgeranyl pyrophosphate synthase 6	0.62	3.5E-02	1.19	4.7E-06	red
AT5G03160	P58IPK	homolog of mamallian P58IPK	0.61	1.1E-06	1.25	1.8E-11	red
AT4G24380			0.60	4.7E-02	2.05	3.1E-15	red
AT4G16750		Integrase-type DNA-binding superfamily protein	0.60	6.9E-03	1.04	1.3E-05	red
AT4G01480	PPa5	pyrophosphorylase 5	0.59	2.6E-08	1.60	3.1E-33	red
AT2G25110	SDF2	stromal cell-derived factor 2-like protein precursor	0.59	5.7E-06	1.34	8.6E-12	red
AT4G26060		Ribosomal protein L18ae family	0.59	8.3E-03	1.09	5.7E-05	red
AT4G37430	CYP91A2	"cytochrome P450, family 91, subfamily A, polypeptide 2"	0.59	2.3E-02	1.06	4.2E-06	red
AT4G24510	CER2	HXXXD-type acyl-transferase family protein	-0.59	1.1E-03	-1.57	1.0E-10	red
AT1G29460		SAUR-like auxin-responsive protein family 	-0.60	3.4E-03	-1.19	1.7E-13	red
AT1G29450		SAUR-like auxin-responsive protein family 	-0.61	3.5E-03	-1.18	7.3E-07	red
AT4G28240		Wound-responsive family protein	-0.63	2.8E-03	-1.10	1.9E-08	red
AT3G55710		UDP-Glycosyltransferase superfamily protein	-0.64	2.3E-02	-1.43	8.4E-09	red
AT1G52190		Major facilitator superfamily protein	-0.65	1.4E-03	-1.64	8.8E-08	red
AT1G20190	EXPA11	expansin 11	-0.65	3.5E-03	-1.51	1.6E-09	red
AT4G17460	HAT1	Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein	-0.65	3.4E-02	-2.07	9.5E-14	red
AT1G72230		Cupredoxin superfamily protein	-0.65	8.2E-03	-1.60	1.4E-08	red
AT5G54585			-0.67	1.7E-02	-1.81	3.8E-10	red
AT5G22500	FAR1	fatty acid reductase 1	-0.67	5.0E-02	-1.92	1.6E-08	red
AT1G47510	5PTASE11	inositol polyphosphate 5-phosphatase 11	-0.68	1.4E-02	-1.90	1.3E-14	red
AT3G15540	IAA19	indole-3-acetic acid inducible 19	-0.68	5.6E-03	-1.77	3.1E-12	red
AT2G21140	PRP2	proline-rich protein 2	-0.69	2.5E-03	-1.99	1.8E-06	red
AT1G15550	GA3OX1	gibberellin 3-oxidase 1	-0.70	1.9E-02	-1.51	1.9E-10	red
AT1G04220	KCS2	3-ketoacyl-CoA synthase 2	-0.70	3.9E-02	-2.62	5.4E-24	red
AT3G16240	DELTA-TIP	delta tonoplast integral protein	-0.71	1.3E-04	-1.83	4.3E-15	red
AT1G78090	TPPB	trehalose-6-phosphate phosphatase	-0.71	1.4E-02	-2.55	2.8E-14	red
AT5G22580		Stress responsive A/B Barrel Domain	-0.73	5.6E-03	-2.06	2.0E-05	red
AT3G54830		Transmembrane amino acid transporter family protein	-0.73	1.5E-03	-1.88	1.6E-14	red
AT5G15780		Pollen Ole e 1 allergen and extensin family protein	-0.73	3.6E-05	-2.75	3.0E-07	red
AT4G18970		GDSL-like Lipase/Acylhydrolase superfamily protein	-0.74	6.8E-05	-1.86	7.2E-08	red
AT3G20810	JMJD5	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-0.74	2.6E-03	-1.47	8.1E-08	red
AT4G29020		glycine-rich protein	-0.75	4.4E-02	-2.16	1.7E-04	red
AT5G18010	SAUR19	SAUR-like auxin-responsive protein family 	-0.75	2.9E-02	-1.83	3.1E-06	red
AT1G62510		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.76	3.7E-03	-2.45	1.9E-15	red
AT1G62480		Vacuolar calcium-binding protein-related	-0.76	6.4E-03	-1.71	4.0E-12	red
AT4G38400	EXLA2	expansin-like A2	-0.79	3.6E-02	-1.12	2.0E-03	red
AT3G12710		DNA glycosylase superfamily protein	-0.79	4.2E-02	-1.98	7.1E-05	red
AT3G60220	ATL4	TOXICOS EN LEVADURA 4	-0.80	1.5E-02	-1.35	6.8E-05	red
AT3G14760			-0.83	5.2E-03	-1.86	1.5E-07	red
AT5G37300	WSD1	O-acyltransferase (WSD1-like) family protein	-0.84	2.3E-03	-3.22	7.7E-12	red
AT2G41170		F-box family protein	-0.85	5.2E-05	-2.30	3.3E-16	red
AT3G22142		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.87	2.7E-03	-2.57	2.0E-15	red
AT1G29500		SAUR-like auxin-responsive protein family 	-0.88	6.0E-08	-2.08	1.6E-08	red
AT3G44550	FAR5	fatty acid reductase 5	4.47	1.8E-02	1.51	2.4E-01	magenta
AT5G44420	PDF1.2	plant defensin 1.2	3.78	1.5E-02	-0.13	9.5E-01	magenta
AT5G40350	MYB24	myb domain protein 24	3.30	1.9E-02	-1.84	6.2E-02	magenta
AT1G57560	MYB50	myb domain protein 50	3.29	4.9E-02	2.31	5.3E-02	magenta
AT4G04500	CRK37	cysteine-rich RLK (RECEPTOR-like protein kinase) 37	3.28	3.5E-02	1.45	1.6E-01	magenta
AT1G40101		transposable element gene	3.11	1.2E-03	0.17	8.3E-01	magenta
AT1G38360		transposable element gene	2.86	1.3E-03	-0.43	5.8E-01	magenta
AT1G53830	PME2	pectin methylesterase 2	2.63	2.9E-04	0.92	9.0E-02	magenta
AT2G11340		transposable element gene	2.55	3.2E-03	0.10	8.9E-01	magenta
AT5G60880	BASL	breaking of asymmetry in the stomatal lineage	2.39	1.1E-03	1.02	9.7E-02	magenta
AT5G26280		TRAF-like family protein	2.21	1.5E-03	0.68	2.6E-01	magenta
AT2G25470	RLP21	receptor like protein 21	1.96	2.9E-02	-0.86	3.1E-01	magenta
AT4G04840	MSRB6	methionine sulfoxide reductase B6	1.86	1.4E-13	0.49	5.7E-02	magenta
AT4G16740	TPS03	terpene synthase 03	1.66	8.1E-05	-0.18	6.9E-01	magenta
AT5G17540		HXXXD-type acyl-transferase family protein	1.53	2.2E-02	0.19	7.7E-01	magenta
AT2G22770	NAI1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	1.34	5.3E-03	0.26	6.1E-01	magenta
AT1G31690		Copper amine oxidase family protein	1.18	4.7E-04	0.48	2.1E-01	magenta
AT5G53290	CRF3	cytokinin response factor 3	1.15	6.6E-04	-0.01	9.9E-01	magenta
AT4G31330		"Protein of unknown function, DUF599"	1.14	6.3E-03	0.60	2.4E-01	magenta
AT4G30270	XTH24	xyloglucan endotransglucosylase/hydrolase 24	1.13	7.3E-03	1.13	5.4E-02	magenta
AT5G62360		Plant invertase/pectin methylesterase inhibitor superfamily protein	1.08	1.2E-02	-0.58	2.8E-01	magenta
AT5G59090	SBT4.12	subtilase 4.12	3.11	3.6E-01	8.76	2.3E-11	orange
AT2G29470	GSTU3	glutathione S-transferase tau 3	4.59	1.3E-01	8.65	7.4E-06	orange
AT1G69930	GSTU11	glutathione S-transferase TAU 11	1.54	8.1E-01	8.34	1.2E-08	orange
AT1G26390		FAD-binding Berberine family protein	3.35	3.3E-01	7.96	6.1E-08	orange
AT5G56080	NAS2	nicotianamine synthase 2	0.08	1.0E+00	7.76	5.0E-05	orange
AT4G15100	SCPL30	serine carboxypeptidase-like 30	2.25	2.3E-01	7.31	3.7E-18	orange
AT3G28580		P-loop containing nucleoside triphosphate hydrolases superfamily protein	1.11	8.8E-01	7.30	7.1E-06	orange
AT1G66570	SUC7	sucrose-proton symporter 7	-0.02	1.0E+00	7.21	1.0E-03	orange
AT1G13710	CYP78A5	"cytochrome P450, family 78, subfamily A, polypeptide 5"	1.32	8.3E-01	7.17	6.5E-09	orange
AT2G47950			2.78	1.1E-01	7.02	4.6E-08	orange
AT3G59930			3.18	6.1E-02	7.01	1.2E-05	orange
AT5G28235		Ulp1 protease family protein	3.94	5.9E-02	6.76	2.9E-06	orange
AT3G43250		Family of unknown function (DUF572) 	0.01	1.0E+00	6.70	5.6E-05	orange
AT1G26250		Proline-rich extensin-like family protein	4.04	4.3E-01	6.65	1.2E-07	orange
AT3G26830	PAD3	Cytochrome P450 superfamily protein	1.06	8.8E-01	6.64	3.0E-07	orange
AT1G19250	FMO1	flavin-dependent monooxygenase 1	-0.01	1.0E+00	6.54	3.0E-04	orange
AT5G64810	WRKY51	WRKY DNA-binding protein 51	0.07	1.0E+00	6.41	2.8E-05	orange
AT5G22545			-0.08	1.0E+00	6.37	5.5E-07	orange
AT1G32350	AOX1D	alternative oxidase 1D	1.05	7.3E-01	6.35	3.7E-08	orange
AT4G14630	GLP9	germin-like protein 9	3.05	3.5E-01	6.32	1.3E-05	orange
AT3G23250	MYB15	myb domain protein 15	2.86	8.4E-02	6.27	2.2E-08	orange
AT2G34500	CYP710A1	"cytochrome P450, family 710, subfamily A, polypeptide 1"	2.29	4.4E-01	6.23	1.1E-04	orange
AT4G37010	CEN2	centrin 2	2.83	1.8E-01	6.23	2.3E-06	orange
AT2G25440	RLP20	receptor like protein 20	2.71	2.5E-01	6.15	2.7E-06	orange
AT1G60470	GolS4	galactinol synthase 4	1.19	7.9E-01	6.13	2.9E-10	orange
AT3G21500	DXPS1	1-deoxy-D-xylulose 5-phosphate synthase 1	3.15	3.5E-01	5.79	1.2E-03	orange
AT4G27654			2.60	2.5E-01	5.75	5.3E-08	orange
AT2G13810	ALD1	AGD2-like defense response protein 1	1.19	8.7E-01	5.68	1.9E-06	orange
AT2G14290		F-box family protein with a domain of unknown function (DUF295)	2.36	2.1E-01	5.63	1.8E-04	orange
AT2G41800		"Protein of unknown function, DUF642"	-0.52	9.5E-01	5.60	6.1E-06	orange
AT2G45220		Plant invertase/pectin methylesterase inhibitor superfamily	3.61	2.2E-01	5.53	2.3E-05	orange
AT3G48850	PHT3;2	phosphate transporter 3;2	1.97	4.1E-01	5.47	2.9E-06	orange
AT4G08770	PRX37	Peroxidase superfamily protein	-0.18	1.0E+00	5.38	2.1E-03	orange
AT1G69880	TH8	thioredoxin H-type 8	0.00	1.0E+00	5.38	6.8E-05	orange
AT4G37990	ELI3-2	elicitor-activated gene 3-2	2.12	3.3E-01	5.34	1.1E-05	orange
AT1G80840	WRKY40	WRKY DNA-binding protein 40	1.12	7.1E-01	5.33	2.4E-13	orange
AT5G42380	CML37	calmodulin like 37	1.46	5.3E-01	5.31	7.1E-06	orange
AT1G05575			0.55	9.1E-01	5.22	3.2E-06	orange
AT5G02780	GSTL1	glutathione transferase lambda 1	1.98	6.6E-01	5.10	8.8E-04	orange
AT1G43160	RAP2.6	related to AP2 6	3.63	6.8E-02	5.09	1.3E-05	orange
AT4G23700	CHX17	cation/H+ exchanger 17	2.82	5.6E-02	5.03	2.2E-10	orange
AT1G32960	SBT3.3	Subtilase family protein	0.48	9.5E-01	4.99	1.6E-04	orange
AT5G03204			2.36	2.4E-01	4.95	7.7E-07	orange
AT3G48520	CYP94B3	"cytochrome P450, family 94, subfamily B, polypeptide 3"	0.98	8.0E-01	4.88	6.3E-05	orange
AT3G11340	UGT76B1	UDP-Glycosyltransferase superfamily protein	3.22	1.0E-01	4.86	5.8E-04	orange
AT3G01830		Calcium-binding EF-hand family protein	-0.07	9.9E-01	4.82	2.0E-06	orange
AT5G22540		Plant protein of unknown function (DUF247)	1.66	7.1E-01	4.77	7.7E-07	orange
AT4G11170		Disease resistance protein (TIR-NBS-LRR class) family	1.77	7.6E-01	4.68	2.5E-03	orange
AT4G21840	MSRB8	methionine sulfoxide reductase B8	0.42	9.6E-01	4.67	3.5E-04	orange
AT3G12220	SCPL16	serine carboxypeptidase-like 16	1.38	7.5E-01	4.62	2.5E-05	orange
AT3G56970	BHLH038	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-1.15	9.3E-01	4.51	3.5E-06	orange
AT2G41240	BHLH100	basic helix-loop-helix protein 100	0.22	9.8E-01	4.42	3.3E-05	orange
AT1G66960	LUP5	Terpenoid cyclases family protein	-0.64	9.4E-01	4.42	2.9E-05	orange
AT5G59580	UGT76E1	UDP-glucosyl transferase 76E1	1.53	3.5E-01	4.38	6.5E-10	orange
AT3G02840		ARM repeat superfamily protein	1.38	6.1E-01	4.37	7.6E-05	orange
AT1G47395			2.00	2.8E-01	4.36	2.7E-12	orange
AT4G39670		Glycolipid transfer protein (GLTP) family protein	1.13	6.9E-01	4.33	2.6E-05	orange
AT5G05340	PRX52	Peroxidase superfamily protein	4.64	7.7E-02	4.31	1.4E-05	orange
AT1G76470		NAD(P)-binding Rossmann-fold superfamily protein	4.49	7.1E-02	4.30	1.7E-05	orange
AT4G22070	WRKY31	WRKY DNA-binding protein 31	0.03	1.0E+00	4.29	6.1E-03	orange
AT3G28340	GATL10	galacturonosyltransferase-like 10	0.67	8.1E-01	4.26	1.2E-05	orange
AT1G67000		Protein kinase superfamily protein	0.56	8.6E-01	4.26	2.0E-08	orange
AT1G13609		Defensin-like (DEFL) family protein	2.04	6.7E-01	4.16	2.2E-06	orange
AT1G28370	ERF11	ERF domain protein 11	0.75	8.7E-01	4.15	2.9E-08	orange
AT5G22570	WRKY38	WRKY DNA-binding protein 38	2.77	4.6E-01	4.13	5.2E-04	orange
AT1G01680	PUB54	plant U-box 54	2.21	3.9E-01	4.12	3.4E-04	orange
AT3G57460		catalytics;metal ion binding	2.63	1.1E-01	4.11	1.2E-05	orange
AT3G56980	BHLH039	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-0.59	9.6E-01	4.07	1.1E-04	orange
AT1G19020			1.15	4.0E-01	4.04	2.0E-09	orange
AT3G10930			1.35	6.3E-01	4.03	5.1E-06	orange
AT4G35180	LHT7	LYS/HIS transporter 7	1.10	7.8E-01	4.00	4.4E-04	orange
AT4G24570	DIC2	dicarboxylate carrier 2	-0.29	9.6E-01	3.98	1.4E-08	orange
AT2G36780		UDP-Glycosyltransferase superfamily protein	1.33	4.1E-01	3.93	3.9E-03	orange
AT1G16370	OCT6	organic cation/carnitine transporter 6	2.96	7.0E-02	3.88	3.2E-06	orange
AT2G15390	FUT4	fucosyltransferase 4	0.80	8.5E-01	3.86	3.1E-06	orange
AT3G60966		RING/U-box superfamily protein	2.72	4.0E-01	3.82	2.9E-04	orange
AT4G29780			0.50	8.8E-01	3.80	9.3E-12	orange
AT1G47400			1.47	5.0E-01	3.75	5.4E-09	orange
AT5G13080	WRKY75	WRKY DNA-binding protein 75	2.50	4.5E-01	3.72	1.5E-03	orange
AT5G39670		Calcium-binding EF-hand family protein	2.14	6.4E-02	3.71	9.4E-06	orange
AT3G46680		UDP-Glycosyltransferase superfamily protein	1.22	6.7E-01	3.70	1.7E-03	orange
AT4G01360	BPS3		0.34	9.3E-01	3.70	2.4E-06	orange
AT5G61890		Integrase-type DNA-binding superfamily protein	2.59	2.9E-01	3.70	5.7E-04	orange
AT5G20230	BCB	blue-copper-binding protein	1.30	5.4E-02	3.68	5.2E-09	orange
AT1G21240	WAK3	wall associated kinase 3	1.30	5.7E-01	3.60	1.5E-04	orange
AT5G53820		Late embryogenesis abundant protein (LEA) family protein	0.59	8.3E-01	3.57	4.0E-07	orange
AT5G10720	HK5	histidine kinase 5	1.54	5.9E-02	3.54	3.9E-10	orange
AT1G13470		Protein of unknown function (DUF1262)	0.94	6.0E-01	3.53	1.0E-06	orange
AT1G66390	MYB90	myb domain protein 90	2.18	3.7E-01	3.45	1.4E-05	orange
AT5G62520	SRO5	similar to RCD one 5	0.49	8.5E-01	3.44	1.6E-05	orange
AT3G50770	CML41	calmodulin-like 41	1.21	6.4E-01	3.42	1.4E-04	orange
AT2G18660	PNP-A	plant natriuretic peptide A	1.99	1.8E-01	3.39	7.3E-05	orange
AT1G14880	PCR1	PLANT CADMIUM RESISTANCE 1	-0.89	8.8E-01	3.37	8.1E-03	orange
AT2G14247		Expressed protein	0.70	9.0E-01	3.37	1.5E-04	orange
AT1G27730	STZ	salt tolerance zinc finger	1.02	4.4E-01	3.36	3.4E-06	orange
AT1G43640	TLP5	tubby like protein 5	0.38	9.3E-01	3.34	3.1E-04	orange
AT2G36640	ECP63	embryonic cell protein 63	1.73	1.8E-01	3.33	1.4E-06	orange
AT4G12490		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	-0.82	9.2E-01	3.33	5.3E-03	orange
AT1G09080	BIP3	Heat shock protein 70 (Hsp 70) family protein	1.06	6.0E-01	3.30	6.9E-04	orange
AT4G20860		FAD-binding Berberine family protein	0.92	1.2E-01	3.30	4.2E-19	orange
AT3G49620	DIN11	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	0.62	8.7E-01	3.24	3.0E-05	orange
AT1G07135		glycine-rich protein	0.10	9.9E-01	3.24	6.4E-09	orange
AT1G01480	ACS2		0.41	9.3E-01	3.21	1.8E-03	orange
AT1G33030		O-methyltransferase family protein	0.87	8.3E-01	3.21	4.4E-03	orange
AT5G41750		Disease resistance protein (TIR-NBS-LRR class) family	0.66	6.3E-01	3.21	1.4E-07	orange
AT5G45630		"Protein of unknown function, DUF584"	-0.36	9.7E-01	3.21	3.2E-04	orange
AT5G48657		defense protein-related	2.03	2.2E-01	3.21	2.5E-03	orange
AT5G65300			0.86	5.3E-01	3.12	5.0E-09	orange
AT1G66090		Disease resistance protein (TIR-NBS class)	0.37	9.4E-01	3.09	7.2E-06	orange
AT1G19380		Protein of unknown function (DUF1195)	0.60	7.9E-01	3.08	8.2E-17	orange
AT2G22880		VQ motif-containing protein	2.67	5.3E-02	3.07	3.4E-04	orange
AT1G66600	ABO3	ABA overly sensitive mutant 3	0.72	8.9E-01	3.04	1.7E-02	orange
AT3G23240	ERF1	ethylene response factor 1	1.72	2.4E-01	3.03	6.0E-05	orange
AT1G65610	KOR2	Six-hairpin glycosidases superfamily protein	3.00	1.7E-01	3.03	6.6E-03	orange
AT3G44260	CAF1a	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	0.59	7.2E-01	3.02	2.8E-09	orange
AT3G43930		BRCT domain-containing DNA repair protein	0.08	9.9E-01	2.98	2.5E-05	orange
AT3G53150	UGT73D1	UDP-glucosyl transferase 73D1	2.31	4.4E-01	2.97	2.2E-02	orange
AT5G22380	NAC090	NAC domain containing protein 90	1.58	7.0E-01	2.97	1.5E-02	orange
AT3G01290	HIR2	SPFH/Band 7/PHB domain-containing membrane-associated protein family	1.39	7.7E-02	2.97	1.1E-04	orange
AT4G21920			1.81	2.7E-01	2.97	1.3E-03	orange
AT1G20310			2.99	1.6E-01	2.96	2.6E-03	orange
AT3G49340		Cysteine proteinases superfamily protein	0.29	9.7E-01	2.95	1.2E-02	orange
AT4G34410	RRTF1	redox responsive transcription factor 1	0.25	9.8E-01	2.95	8.7E-03	orange
AT5G02170		Transmembrane amino acid transporter family protein	0.86	5.2E-01	2.94	4.6E-07	orange
AT3G09270	GSTU8	glutathione S-transferase TAU 8	0.90	4.3E-01	2.94	6.6E-07	orange
AT2G20142		Toll-Interleukin-Resistance (TIR) domain family protein	0.39	9.4E-01	2.92	3.8E-04	orange
AT3G29000		Calcium-binding EF-hand family protein	1.74	1.5E-01	2.92	2.1E-04	orange
AT2G32030		Acyl-CoA N-acyltransferases (NAT) superfamily protein	0.81	7.1E-01	2.92	1.2E-05	orange
AT3G04220		Disease resistance protein (TIR-NBS-LRR class) family	1.64	5.8E-01	2.91	2.5E-03	orange
AT4G20000		VQ motif-containing protein	0.70	9.0E-01	2.90	1.1E-02	orange
AT4G33467			1.01	3.5E-01	2.90	3.7E-19	orange
AT4G31800	WRKY18	WRKY DNA-binding protein 18	1.13	6.0E-02	2.90	1.5E-09	orange
AT3G43715		transposable element gene	0.87	2.8E-01	2.89	1.8E-14	orange
AT2G32140		transmembrane receptors	1.07	3.1E-01	2.86	1.0E-04	orange
AT3G48640			1.44	8.1E-01	2.85	1.7E-02	orange
AT1G24140		Matrixin family protein	0.48	8.7E-01	2.82	1.2E-06	orange
AT2G30766			1.15	4.5E-01	2.81	8.4E-14	orange
AT1G07500			1.25	3.3E-01	2.80	5.8E-08	orange
AT3G19550			0.25	9.6E-01	2.78	1.7E-05	orange
AT3G46690		UDP-Glycosyltransferase superfamily protein	0.56	9.0E-01	2.77	1.6E-02	orange
AT4G15280	UGT71B5	UDP-glucosyl transferase 71B5	0.40	9.5E-01	2.76	2.2E-02	orange
AT4G30280	XTH18	xyloglucan endotransglucosylase/hydrolase 18	1.96	3.6E-01	2.76	5.4E-03	orange
AT5G57550	XTH25	xyloglucan endotransglucosylase/hydrolase 25	0.52	9.1E-01	2.75	2.3E-04	orange
AT1G21525			0.89	7.9E-01	2.73	1.1E-02	orange
AT2G43570	CHI	"chitinase, putative"	0.44	8.7E-01	2.73	1.3E-04	orange
AT2G30020		Protein phosphatase 2C family protein	0.57	5.1E-01	2.70	3.6E-10	orange
AT1G51820		Leucine-rich repeat protein kinase family protein	1.75	6.1E-01	2.68	2.5E-02	orange
AT4G15670		Thioredoxin superfamily protein	0.09	9.7E-01	2.68	2.3E-19	orange
AT3G28210	PMZ	zinc finger (AN1-like) family protein	1.44	1.7E-01	2.67	4.1E-04	orange
AT5G04150	BHLH101	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.18	9.8E-01	2.66	8.4E-08	orange
AT1G77885			0.58	7.1E-02	2.65	8.6E-33	orange
AT5G08240			0.85	7.2E-01	2.65	3.3E-06	orange
AT3G55980	SZF1	salt-inducible zinc finger 1	0.44	8.8E-01	2.64	3.3E-12	orange
AT3G04640		glycine-rich protein	0.06	9.9E-01	2.64	3.5E-11	orange
AT2G34080		Cysteine proteinases superfamily protein	1.03	3.8E-01	2.64	7.2E-05	orange
AT1G07985		Expressed protein	1.46	7.0E-02	2.64	1.1E-07	orange
AT2G17040	NAC036	NAC domain containing protein 36	0.77	4.3E-01	2.63	8.3E-08	orange
AT5G24200		alpha/beta-Hydrolases superfamily protein	0.73	8.4E-01	2.63	2.4E-03	orange
AT1G34180	NAC016	NAC domain containing protein 16	0.47	7.9E-01	2.62	1.0E-05	orange
AT3G60490		Integrase-type DNA-binding superfamily protein	1.41	1.9E-01	2.62	4.9E-05	orange
AT1G66160	CMPG1	"CYS, MET, PRO, and GLY protein 1"	0.18	9.5E-01	2.60	3.1E-06	orange
AT4G18422			0.57	8.2E-01	2.60	8.3E-06	orange
AT1G43910		P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.71	7.4E-01	2.59	6.2E-03	orange
AT2G25735			0.57	8.3E-01	2.59	1.6E-03	orange
AT5G09290		Inositol monophosphatase family protein	-0.46	9.5E-01	2.59	2.5E-02	orange
AT5G52760		Copper transport protein family	1.67	4.3E-01	2.59	7.1E-04	orange
AT5G14180	MPL1	Myzus persicae-induced lipase 1	1.05	7.0E-01	2.59	9.0E-03	orange
AT5G57010		calmodulin-binding family protein	1.57	4.4E-01	2.58	3.8E-03	orange
AT1G54575			0.59	2.2E-01	2.58	2.6E-15	orange
AT5G61600	ERF104	ethylene response factor 104	0.70	6.3E-01	2.57	1.1E-04	orange
AT1G33960	AIG1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.60	8.8E-01	2.57	4.5E-03	orange
AT1G15010			0.18	9.6E-01	2.55	5.1E-05	orange
AT1G21310	EXT3	extensin 3	0.31	9.1E-01	2.54	4.5E-05	orange
AT3G10600	CAT7	cationic amino acid transporter 7	0.85	8.3E-01	2.54	2.6E-07	orange
AT2G14230		transposable element gene	0.69	6.9E-01	2.54	4.8E-05	orange
AT2G14610	PR1	pathogenesis-related gene 1	-1.80	7.7E-01	2.54	4.7E-02	orange
AT5G45340	CYP707A3	"cytochrome P450, family 707, subfamily A, polypeptide 3"	-0.22	9.7E-01	2.54	9.5E-05	orange
AT3G48650			1.23	5.1E-01	2.52	3.4E-04	orange
AT5G05250			1.27	2.9E-01	2.52	3.9E-11	orange
AT2G28210	ACA2	alpha carbonic anhydrase 2	0.42	7.9E-01	2.50	7.9E-06	orange
AT4G17490	ERF6	ethylene responsive element binding factor 6	0.49	8.8E-01	2.50	1.1E-05	orange
AT1G56150		SAUR-like auxin-responsive protein family 	0.72	5.1E-01	2.48	1.4E-07	orange
AT4G24110			1.47	2.9E-01	2.48	4.7E-03	orange
AT3G07195		RPM1-interacting protein 4 (RIN4) family protein	0.04	9.9E-01	2.47	1.9E-03	orange
AT5G44350		ethylene-responsive nuclear protein -related	0.88	6.9E-01	2.47	2.2E-05	orange
AT1G21100	IGMT1	O-methyltransferase family protein	1.20	1.2E-01	2.46	1.2E-06	orange
AT3G61190	BAP1	BON association protein 1	0.70	8.7E-01	2.45	2.3E-04	orange
AT4G23215			1.70	1.3E-01	2.45	3.4E-03	orange
AT2G44500		O-fucosyltransferase family protein	1.08	5.2E-02	2.44	2.4E-08	orange
AT1G62440	LRX2	leucine-rich repeat/extensin 2	0.47	8.3E-01	2.42	7.0E-06	orange
AT3G16330			0.23	9.4E-01	2.42	6.4E-03	orange
AT4G23810	WRKY53	WRKY family transcription factor	0.57	8.2E-01	2.42	8.1E-08	orange
AT1G07620	ATOBGM	GTP-binding protein Obg/CgtA	0.87	6.1E-01	2.41	3.8E-05	orange
AT2G45760	BAP2	BON association protein 2	-0.31	9.5E-01	2.41	8.4E-04	orange
AT2G47130	SDR3	NAD(P)-binding Rossmann-fold superfamily protein	0.18	9.6E-01	2.40	3.6E-03	orange
AT5G63450	CYP94B1	"cytochrome P450, family 94, subfamily B, polypeptide 1"	1.81	4.0E-01	2.40	1.4E-03	orange
AT5G22520			2.37	4.6E-01	2.40	3.2E-02	orange
AT3G19580	ZF2	zinc-finger protein 2	0.39	8.5E-01	2.39	8.3E-11	orange
AT3G57157		other RNA	0.56	5.8E-01	2.38	3.1E-05	orange
AT1G10540	NAT8	nucleobase-ascorbate transporter 8	0.70	3.2E-01	2.37	3.0E-08	orange
AT5G45810	CIPK19	CBL-interacting protein kinase 19	0.19	9.5E-01	2.35	7.7E-05	orange
AT5G07322		other RNA	0.12	9.7E-01	2.34	1.5E-03	orange
AT5G27420	CNI1	carbon/nitrogen insensitive 1	0.30	9.3E-01	2.34	8.0E-06	orange
AT5G50940		RNA-binding KH domain-containing protein	0.31	8.1E-01	2.34	6.3E-10	orange
AT3G57450			0.46	6.1E-01	2.33	6.4E-10	orange
AT3G47480		Calcium-binding EF-hand family protein	1.41	1.3E-01	2.32	7.4E-06	orange
AT1G50750		Plant mobile domain protein family	0.40	9.1E-01	2.32	8.2E-08	orange
AT2G27080		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	0.01	1.0E+00	2.31	2.1E-05	orange
AT3G50260	CEJ1	cooperatively regulated by ethylene and jasmonate 1	-0.32	9.3E-01	2.31	7.3E-04	orange
AT5G51190		Integrase-type DNA-binding superfamily protein	0.53	8.9E-01	2.30	2.2E-03	orange
AT1G10340		Ankyrin repeat family protein	0.60	8.9E-01	2.29	1.7E-02	orange
AT2G04450	NUDT6	nudix hydrolase homolog 6	0.73	7.7E-01	2.28	2.3E-03	orange
AT1G74930	ORA47	Integrase-type DNA-binding superfamily protein	0.81	3.4E-01	2.28	5.3E-07	orange
AT5G16080	CXE17	carboxyesterase 17	0.33	8.5E-01	2.27	7.5E-14	orange
AT3G25180	CYP82G1	"cytochrome P450, family 82, subfamily G, polypeptide 1"	1.19	7.8E-01	2.25	2.2E-02	orange
AT4G15660		Thioredoxin superfamily protein	0.16	9.4E-01	2.25	2.4E-17	orange
AT1G59590	ZCF37	ZCF37	0.67	5.8E-01	2.25	2.3E-05	orange
