Gene.ID	Root.1.hr.log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00089724001	-2.556050862	0.029725324	CDY15549	BnaA08g28330D	supercontig:AST_PRJEB5043_v1:LK032055:486971:489103:-1	BnaA08g28330D protein	AT1G05640	NA	chromosome:TAIR10:1:1687436:1689955:-1	Ankyrin repeats-containing protein	87.083	0	1897	489	GO:0005515	IPR002110;IPR020683;IPR026961;IPR027001;IPR027002
GSBRNA2T00089727001	3.912106405	2.44e-07	CDY15551	BnaA08g28350D	supercontig:AST_PRJEB5043_v1:LK032055:494710:496371:-1	BnaA08g28350D protein	AT1G05680	UGT74E2	chromosome:TAIR10:1:1703002:1704838:-1	Glycosyltransferase	87.732	0	1319	72	GO:0008152	IPR002213
GSBRNA2T00089731001	-2.23073169	0.046619434	CDY15555	BnaA08g28390D	supercontig:AST_PRJEB5043_v1:LK032055:508221:515313:1	BnaA08g28390D protein	AT1G05700	NA	chromosome:TAIR10:1:1709673:1713443:1	Leucine-rich repeat transmembrane protein kinase protein	84.051	0	747	NA	GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468;GO:0046983	IPR000719;IPR002290;IPR008271;IPR011009;IPR011598;IPR013320;IPR017441;IPR020635;IPR024788;IPR025875
GSBRNA2T00089735001	-1.40009039	0.024325397	CDY15558	BnaA08g28420D	supercontig:AST_PRJEB5043_v1:LK032055:530844:532057:-1	BnaA08g28420D protein	AT1G06040	BBX24	chromosome:TAIR10:1:1828413:1829890:-1	B-box zinc finger protein 24	85.2	0	743	576	GO:0005622;GO:0008270	IPR000315
GSBRNA2T00089741001	5.437337036	0.001086727	CDY15564	BnaA08g28480D	supercontig:AST_PRJEB5043_v1:LK032055:552333:553793:1	BnaA08g28480D protein	AT1G06210	NA	chromosome:TAIR10:1:1897129:1899237:1	At1g06210/F9P14_4	86.962	0	961	NA	GO:0005622;GO:0006886	IPR002014;IPR004152;IPR008942;IPR018205
GSBRNA2T00089744001	1.501833854	0.01775257	CDY15567	BnaA08g28510D	supercontig:AST_PRJEB5043_v1:LK032055:559344:560895:1	BnaA08g28510D protein	AT1G06230	GTE4	chromosome:TAIR10:1:1906963:1911056:1	GTE4	84.536	4.05e-103	375	NA	NA	NA
GSBRNA2T00089745001	1.284248001	0.0238036	CDY15568	BnaA08g28520D	supercontig:AST_PRJEB5043_v1:LK032055:561002:562958:1	BnaA08g28520D protein	AT1G06230	GTE4	chromosome:TAIR10:1:1906963:1911056:1	GTE4	91.445	0	719	NA	GO:0005515	IPR001487;IPR027353
GSBRNA2T00089770001	-2.181831898	0.00073262	CDY15587	BnaA08g28710D	supercontig:AST_PRJEB5043_v1:LK032055:632970:634490:1	BnaA08g28710D protein	AT1G06680	PSBP1	chromosome:TAIR10:1:2047634:2049439:1	Oxygen-evolving enhancer protein 2-1, chloroplastic	89.46	0	992	NA	GO:0005509;GO:0009523;GO:0009654;GO:0015979;GO:0019898	IPR002683;IPR016123
GSBRNA2T00089797001	1.214380303	0.011166337	CDY15610	BnaA08g28940D	supercontig:AST_PRJEB5043_v1:LK032055:713361:717132:-1	BnaA08g28940D protein	AT1G07380	NA	chromosome:TAIR10:1:2264673:2268306:-1	Neutral/alkaline non-lysosomal ceramidase	89.673	0	1940	NA	NA	IPR006823
GSBRNA2T00089803001	1.069588996	0.030357203	CDY15616	BnaA08g29000D	supercontig:AST_PRJEB5043_v1:LK032055:740748:743210:-1	BnaA08g29000D protein	AT2G29060	SCL33	chromosome:TAIR10:2:12481664:12484420:1	Scarecrow-like protein 33	77.007	1.06e-126	455	24	NA	IPR005202
GSBRNA2T00089850001	-2.809008198	0.004794007	CDY15650	BnaA07g08210D	supercontig:AST_PRJEB5043_v1:LK032056:154021:156711:-1	BnaA07g08210D protein	AT1G29120	NA	chromosome:TAIR10:1:10174209:10178513:1	AT1G29120 protein	89.356	0	887	NA	NA	IPR007751
GSBRNA2T00089863001	-3.207989447	0.003418982	CDY15657	BnaA07g08280D	supercontig:AST_PRJEB5043_v1:LK032056:269307:271574:1	BnaA07g08280D protein	AT1G28570	NA	chromosome:TAIR10:1:10041641:10044150:-1	GDSL esterase/lipase At1g28570	82.088	0	933	87	GO:0006629;GO:0016787	IPR001087;IPR013831
GSBRNA2T00089867001	5.000328719	8.6e-09	CDY15660	BnaA07g08310D	supercontig:AST_PRJEB5043_v1:LK032056:279153:280554:-1	BnaA07g08310D protein	AT1G28510	NA	chromosome:TAIR10:1:10023817:10026311:1	At1g28510/F3M18_5	86.266	6.95e-143	507	NA	NA	IPR010754
GSBRNA2T00089869001	3.580644897	0.000286201	CDY15662	BnaA07g08330D	supercontig:AST_PRJEB5043_v1:LK032056:285217:285669:1	BnaA07g08330D protein	AT1G28480	GRXC9	chromosome:TAIR10:1:10013434:10014256:-1	Glutaredoxin-C9	80.964	2.5e-81	302	NA	GO:0009055;GO:0015035;GO:0045454	IPR002109;IPR011905;IPR012336
GSBRNA2T00089898001	-2.976407729	6.56e-06	CDY15682	BnaA07g08530D	supercontig:AST_PRJEB5043_v1:LK032056:443239:444960:1	BnaA07g08530D protein	AT1G28290	AGP31	chromosome:TAIR10:1:9889125:9890875:-1	Non-classical arabinogalactan protein 31	81.809	0	754	NA	NA	IPR006041;IPR013783
GSBRNA2T00089949001	1.657123732	0.014644416	CDY15723	BnaA07g08940D	supercontig:AST_PRJEB5043_v1:LK032056:734981:735957:-1	BnaA07g08940D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00089953001	1.734376809	0.001249802	CDY15726	BnaA07g08970D	supercontig:AST_PRJEB5043_v1:LK032056:750902:753970:1	Glucose-6-phosphate 1-dehydrogenase	AT1G24280	G6PD3	chromosome:TAIR10:1:8609338:8612580:1	Glucose-6-phosphate 1-dehydrogenase	89.452	0	2104	436	GO:0000166;GO:0004345;GO:0006006;GO:0050661;GO:0055114	IPR001282;IPR016040;IPR019796;IPR022674;IPR022675
GSBRNA2T00089956001	2.792415794	0.000858149	CDY15728	BnaA07g08990D	supercontig:AST_PRJEB5043_v1:LK032056:757172:761860:-1	BnaA07g08990D protein	AT1G24320	GCS2	chromosome:TAIR10:1:8626437:8631027:-1	Alpha-glucosidase 2	87.468	0	2678	857	GO:0003824;GO:0004573;GO:0009311	IPR004888;IPR008928
GSBRNA2T00090065001	-1.764907881	0.000169878	CDY15787	BnaC04g15370D	supercontig:AST_PRJEB5043_v1:LK032057:712871:713790:-1	BnaC04g15370D protein	AT2G28790	NA	chromosome:TAIR10:2:12354386:12355480:-1	Pathogenesis-related thaumatin superfamily protein	86.111	0	809	NA	NA	IPR001938
GSBRNA2T00090117001	3.218874986	8.61e-05	CDY15806	BnaC02g34250D	supercontig:AST_PRJEB5043_v1:LK032058:230189:231929:-1	BnaC02g34250D protein	AT2G01990	NA	chromosome:TAIR10:2:465001:466724:-1	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G14630.1); Has 118 Blast hits to 118 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 0 (sou /.../CBI BLink).	82.544	2.51e-178	625	NA	NA	NA
GSBRNA2T00090129001	6.238551576	3.5e-15	CDY15807	BnaC02g34260D	supercontig:AST_PRJEB5043_v1:LK032058:307215:309924:-1	Glutamate decarboxylase	AT2G02010	GAD4	chromosome:TAIR10:2:474108:476650:-1	glutamate decarboxylase 4	90.155	0	1929	259	GO:0003824;GO:0004351;GO:0006536;GO:0016831;GO:0019752;GO:0030170	IPR002129;IPR010107;IPR015421;IPR015424
GSBRNA2T00090151001	2.398680548	3.89e-05	CDY15821	BnaC02g34400D	supercontig:AST_PRJEB5043_v1:LK032058:527578:529895:1	BnaC02g34400D protein	AT2G02180	TOM3	chromosome:TAIR10:2:560695:563367:1	Tobamovirus multiplication protein 3	91.462	0	1175	356	NA	IPR009457
GSBRNA2T00090153001	2.248335965	3.73e-05	CDY15822	BnaC02g34410D	supercontig:AST_PRJEB5043_v1:LK032058:547622:550438:-1	BnaC02g34410D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0006468	IPR000719;IPR001611;IPR002290;IPR003591;IPR008271;IPR011009;IPR013320;IPR017441;IPR020635
GSBRNA2T00090155001	-1.138381809	0.027361677	CDY15823	BnaC02g34420D	supercontig:AST_PRJEB5043_v1:LK032058:555119:556551:-1	BnaC02g34420D protein	AT2G02230	PP2B1	chromosome:TAIR10:2:589945:591689:-1	F-box protein PP2-B1	77.937	1.29e-162	573	NA	GO:0005515	IPR001810;IPR025886
GSBRNA2T00090182001	-3.911408037	0.000323179	CDY15842	BnaA04g12690D	supercontig:AST_PRJEB5043_v1:LK032059:2152:5387:1	Trehalose 6-phosphate phosphatase	AT2G22190	TPPE	chromosome:TAIR10:2:9433616:9436658:-1	Probable trehalose-phosphate phosphatase E	87.689	0	1140	460	GO:0003824;GO:0005992;GO:0008152	IPR003337;IPR006379;IPR023214
GSBRNA2T00090192001	-1.262380504	0.008501699	CDY15847	BnaA04g12640D	supercontig:AST_PRJEB5043_v1:LK032059:52208:58314:-1	BnaA04g12640D protein	AT2G22125	CSI1	chromosome:TAIR10:2:9406059:9414578:1	Protein CELLULOSE SYNTHASE INTERACTIVE 1	92.034	0	4305	NA	GO:0005488;GO:0005515	IPR000008;IPR000225;IPR008973;IPR011989;IPR016024;IPR018029
GSBRNA2T00090212001	1.948128136	0.04837665	CDY15857	BnaA04g12540D	supercontig:AST_PRJEB5043_v1:LK032059:159164:161047:1	BnaA04g12540D protein	AT2G21900	WRKY59	chromosome:TAIR10:2:9333844:9336278:-1	Probable WRKY transcription factor 59	85.263	2.09e-163	575	NA	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00090215001	-2.696548811	0.01344852	CDY15859	BnaA04g12520D	supercontig:AST_PRJEB5043_v1:LK032059:172181:173854:1	BnaA04g12520D protein	AT2G21880	RABG2	chromosome:TAIR10:2:9324633:9326426:-1	Ras-related protein RABG2	88.174	0	680	NA	GO:0003924;GO:0005525;GO:0005622;GO:0006184;GO:0006886;GO:0006913;GO:0007165;GO:0007264;GO:0015031;GO:0016020	IPR001806;IPR002041;IPR003578;IPR003579;IPR005225;IPR020849
GSBRNA2T00090221001	1.775567257	0.022107508	CDY15865	BnaA04g12460D	supercontig:AST_PRJEB5043_v1:LK032059:190970:193459:-1	BnaA04g12460D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0005506;GO:0006633;GO:0016491;GO:0055114	IPR006694
GSBRNA2T00090255001	-1.079594261	0.008214828	CDY15895	BnaA04g12160D	supercontig:AST_PRJEB5043_v1:LK032059:343609:348504:-1	V-type proton ATPase subunit a	AT2G21410	VHA-A2	chromosome:TAIR10:2:9162516:9168556:1	V-type proton ATPase subunit a2	91.667	0	3386	783	GO:0015078;GO:0015991	IPR002490
GSBRNA2T00090282001	2.066719177	0.002197293	CDY15915	BnaA04g11960D	supercontig:AST_PRJEB5043_v1:LK032059:502443:504150:1	Probable magnesium transporter	AT2G21120	NA	chromosome:TAIR10:2:9051725:9054821:-1	Probable magnesium transporter	87.587	0	1147	NA	GO:0015095;GO:0015693;GO:0016020	IPR008521
GSBRNA2T00090295001	-1.236662946	0.005782351	CDY15925	BnaA04g11860D	supercontig:AST_PRJEB5043_v1:LK032059:556233:560219:1	Chloride channel protein	AT5G40890	CLC-A	chromosome:TAIR10:5:16381316:16385424:-1	Chloride channel protein CLC-a	89.893	0	2994	1040	GO:0005216;GO:0005247;GO:0005515;GO:0006821;GO:0016020;GO:0055085	IPR000644;IPR001807;IPR002251;IPR014743
GSBRNA2T00090339001	3.863086566	2.92e-10	CDY15959	BnaA04g11520D	supercontig:AST_PRJEB5043_v1:LK032059:753141:754535:-1	BnaA04g11520D protein	AT5G39050	PMAT1	chromosome:TAIR10:5:15634444:15636480:1	Phenolic glucoside malonyltransferase 1	81.776	3.85e-144	512	NA	NA	IPR003480;IPR023213
GSBRNA2T00090353001	-1.307796686	0.010865557	CDY15969	BnaC08g41540D	supercontig:AST_PRJEB5043_v1:LK032060:51673:53694:1	Flavin-containing monooxygenase	AT1G12140	FMOGS-OX5	chromosome:TAIR10:1:4121285:4124595:1	Flavin-containing monooxygenase FMO GS-OX5	84.071	0	1295	NA	GO:0050660;GO:0050661;GO:0055114	IPR000960;IPR020946
GSBRNA2T00090357001	5.667553391	1.71e-21	CDY15973	BnaC08g41500D	supercontig:AST_PRJEB5043_v1:LK032060:67829:70314:1	Flavin-containing monooxygenase	AT1G12200	NA	chromosome:TAIR10:1:4137515:4140158:1	Flavin-containing monooxygenase	89.993	0	1779	1440	GO:0050660;GO:0050661;GO:0055114	IPR000960;IPR020946
GSBRNA2T00090368001	-2.935514613	3.92e-13	CDY15984	BnaC08g41390D	supercontig:AST_PRJEB5043_v1:LK032060:97755:101591:1	BnaC08g41390D protein	AT1G12240	BFRUCT4	chromosome:TAIR10:1:4153641:4157653:1	Acid beta-fructofuranosidase 4, vacuolar	88.595	0	1916	NA	GO:0004564;GO:0004575;GO:0005975	IPR001362;IPR008985;IPR013148;IPR013189;IPR021792;IPR023296
GSBRNA2T00090391001	1.474884444	0.006190964	CDY16005	BnaC08g41180D	supercontig:AST_PRJEB5043_v1:LK032060:163629:164481:-1	BnaC08g41180D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003677;GO:0008270	IPR000058;IPR002653
GSBRNA2T00090397001	2.779694988	0.001603339	CDY16011	BnaC08g41120D	supercontig:AST_PRJEB5043_v1:LK032060:184435:185513:1	BnaC08g41120D protein	AT1G12550	HPR3	chromosome:TAIR10:1:4274531:4276031:1	Glyoxylate/hydroxypyruvate reductase HPR3	84.08	4.46e-107	388	NA	GO:0000166;GO:0008152;GO:0048037;GO:0051287;GO:0055114	IPR006139;IPR006140;IPR016040
GSBRNA2T00090431001	4.598449987	0.004848452	CDY16037	BnaC08g40860D	supercontig:AST_PRJEB5043_v1:LK032060:287121:287804:1	BnaC08g40860D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00090432001	-2.200203994	0.003099995	CDY16038	BnaC08g40850D	supercontig:AST_PRJEB5043_v1:LK032060:287878:289879:-1	Glyceraldehyde-3-phosphate dehydrogenase	AT1G12900	GAPA-2	chromosome:TAIR10:1:4392486:4394343:-1	glyceraldehyde 3-phosphate dehydrogenase A subunit 2	91.923	0	1679	449	GO:0000166;GO:0006006;GO:0050661;GO:0051287;GO:0055114	IPR006424;IPR016040;IPR020828;IPR020829;IPR020830;IPR020831
GSBRNA2T00090460001	4.202714473	0.021237099	CDY16061	BnaC08g40620D	supercontig:AST_PRJEB5043_v1:LK032060:387775:388378:-1	BnaC08g40620D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR016140
GSBRNA2T00090463001	5.378096271	0.003228173	CDY16062	BnaC08g40610D	supercontig:AST_PRJEB5043_v1:LK032060:391472:393035:-1	BnaC08g40610D protein	AT1G13780	NA	chromosome:TAIR10:1:4724544:4726558:1	F-box/FBD/LRR-repeat protein At1g13780	77.54	1.86e-87	324	NA	GO:0005515	IPR001810;IPR006566
GSBRNA2T00090476001	1.920967959	0.015587405	CDY16072	BnaC08g40510D	supercontig:AST_PRJEB5043_v1:LK032060:447168:448516:-1	BnaC08g40510D protein	AT1G13195	NA	chromosome:TAIR10:1:4501581:4503676:-1	At1g13195	89.783	0	992	NA	GO:0005515;GO:0008270	IPR001841;IPR013083;IPR017907
GSBRNA2T00090477001	1.25014509	0.004496748	CDY16073	BnaC08g40500D	supercontig:AST_PRJEB5043_v1:LK032060:449926:454449:-1	Phospholipid-transporting ATPase	AT1G13210	ALA11	chromosome:TAIR10:1:4508906:4514010:-1	Probable phospholipid-transporting ATPase 11	87.524	0	4156	1175	GO:0000166;GO:0000287;GO:0004012;GO:0005524;GO:0006812;GO:0015914;GO:0016021;GO:0019829;GO:0046872	IPR001757;IPR006539;IPR008250;IPR018303;IPR023214;IPR023299
GSBRNA2T00090503001	1.95133331	0.001022008	CDY16092	BnaC08g40310D	supercontig:AST_PRJEB5043_v1:LK032060:562373:564395:-1	BnaC08g40310D protein	AT1G13470	NA	chromosome:TAIR10:1:4620101:4621585:-1	Protein of unknown function (DUF1262)	83.811	0	750	459	GO:0009405	IPR008872
GSBRNA2T00090509001	-1.43622253	0.053196685	CDY16096	BnaC08g40270D	supercontig:AST_PRJEB5043_v1:LK032060:575777:579233:-1	BnaC08g40270D protein	AT1G13560	AAPT1	chromosome:TAIR10:1:4638486:4642190:-1	ATAAPT1	91.887	0	1631	587	GO:0008654;GO:0016020	IPR000462;IPR014472
GSBRNA2T00090519001	-5.667755787	0.000398945	CDY16102	BnaC08g40210D	supercontig:AST_PRJEB5043_v1:LK032060:652657:654519:-1	BnaC08g40210D protein	AT1G13710	CYP78A5	chromosome:TAIR10:1:4702657:4704694:-1	Cytochrome P450 78A5	89.212	0	1755	1663.4	GO:0005506;GO:0009055;GO:0020037;GO:0055114	IPR001128;IPR002401;IPR017972
GSBRNA2T00090548001	1.052977816	0.0087223	CDY16124	BnaC08g39990D	supercontig:AST_PRJEB5043_v1:LK032060:746482:749289:1	BnaC08g39990D protein	AT1G14000	VIK	chromosome:TAIR10:1:4797358:4800283:1	At1g14000	91.026	0	1773	NA	GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0006468;GO:0009966	IPR000719;IPR001245;IPR002110;IPR002290;IPR008271;IPR011009;IPR016253;IPR017441;IPR020635;IPR020683
GSBRNA2T00090551001	2.104690525	0.026819281	CDY16127	BnaC08g39960D	supercontig:AST_PRJEB5043_v1:LK032060:757026:758197:1	BnaC08g39960D protein	AT4G31790	NA	chromosome:TAIR10:4:15377224:15378873:1	Probable diphthine methyl ester synthase	86.547	2.82e-63	243	NA	GO:0008152;GO:0008168	IPR000878;IPR014776
GSBRNA2T00090574001	-2.213114192	0.011874891	CDY16140	BnaA09g28740D	supercontig:AST_PRJEB5043_v1:LK032061:100066:106056:1	BnaA09g28740D protein	AT1G68750	PPC4	chromosome:TAIR10:1:25822716:25828147:-1	PPC4	83.861	0	1805	NA	GO:0003824;GO:0006099;GO:0008964;GO:0015977	IPR015813;IPR018129;IPR021135;IPR022805
GSBRNA2T00090594001	7.133327198	1.81e-56	CDY16155	BnaA09g28890D	supercontig:AST_PRJEB5043_v1:LK032061:229026:231543:-1	BnaA09g28890D protein	AT1G26390	FOX2	chromosome:TAIR10:1:9130013:9131779:-1	Berberine bridge enzyme-like 4	85.013	0	1587	133	GO:0003824;GO:0008762;GO:0016491;GO:0050660;GO:0055114	IPR006094;IPR012951;IPR016166;IPR016167;IPR016169
GSBRNA2T00090596001	3.242999963	1.61e-17	CDY16156	BnaA09g28900D	supercontig:AST_PRJEB5043_v1:LK032061:239902:241485:-1	BnaA09g28900D protein	AT1G26420	FOX5	chromosome:TAIR10:1:9141519:9143336:-1	Berberine bridge enzyme-like 7	86.629	0	1740	157	GO:0003824;GO:0008762;GO:0016491;GO:0050660;GO:0055114	IPR006094;IPR012951;IPR016166;IPR016167;IPR016169
GSBRNA2T00090635001	3.424936516	9.29e-11	CDY16190	BnaA09g29240D	supercontig:AST_PRJEB5043_v1:LK032061:366178:367969:1	BnaA09g29240D protein	AT1G26770	ATEXPA10	chromosome:TAIR10:1:9259432:9261313:1	Expansin A10	89.067	0	931	NA	GO:0005576;GO:0009664	IPR002963;IPR007112;IPR007117;IPR007118;IPR009009;IPR014733
GSBRNA2T00090643001	-2.537512643	0.049011718	CDY16197	BnaA09g29310D	supercontig:AST_PRJEB5043_v1:LK032061:398822:400593:1	BnaA09g29310D protein	AT1G26840	ORC6	chromosome:TAIR10:1:9298670:9300800:1	Origin of replication complex subunit 6	87.002	0	963	NA	GO:0003677;GO:0005664;GO:0006260	IPR008721;IPR020529
GSBRNA2T00090674001	1.656004323	0.019942379	CDY16218	BnaA09g29520D	supercontig:AST_PRJEB5043_v1:LK032061:569864:574085:-1	BnaA09g29520D protein	AT1G27100	NA	chromosome:TAIR10:1:9407085:9411368:-1	Actin cross-linking protein	83.49	0	1435	NA	NA	IPR007679;IPR008999
GSBRNA2T00090678001	1.518881401	0.020289916	CDY16220	BnaA09g29540D	supercontig:AST_PRJEB5043_v1:LK032061:594376:595434:1	BnaA09g29540D protein	AT1G27130	GSTU13	chromosome:TAIR10:1:9425280:9426897:1	Glutathione S-transferase U13	85.109	0	699	NA	GO:0005515	IPR004045;IPR004046;IPR010987;IPR012336;IPR017933
GSBRNA2T00090704001	2.034784149	0.002358167	CDY16241	BnaA09g29750D	supercontig:AST_PRJEB5043_v1:LK032061:715792:717101:1	BnaA09g29750D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0004222;GO:0006508;GO:0008237;GO:0008270;GO:0031012	IPR001818;IPR002477;IPR006026;IPR021158;IPR021190;IPR024079
GSBRNA2T00090739001	1.304444281	0.005840517	CDY16260	BnaC01g22950D	supercontig:AST_PRJEB5043_v1:LK032062:149711:151896:1	BnaC01g22950D protein	AT4G14680	APS3	chromosome:TAIR10:4:8413288:8415605:-1	Pseudouridine synthase/archaeosine transglycosylase-like family protein	86.364	0	1519	405	GO:0000103;GO:0004781	IPR002650;IPR014729;IPR015947;IPR024951;IPR025980
GSBRNA2T00090787001	-1.343176751	0.034319124	CDY16289	BnaC01g23240D	supercontig:AST_PRJEB5043_v1:LK032062:435997:438738:1	BnaC01g23240D protein	AT3G51820	CHLG	chromosome:TAIR10:3:19215930:19219128:-1	Chlorophyll synthase, chloroplastic	90.69	0	1539	NA	GO:0004659;GO:0015995;GO:0016021;GO:0030494;GO:0046408	IPR000537;IPR006372;IPR011799
GSBRNA2T00090811001	3.821702381	0.014344026	CDY16307	BnaC01g23420D	supercontig:AST_PRJEB5043_v1:LK032062:559391:561040:-1	BnaC01g23420D protein	AT3G51440	SSL6	chromosome:TAIR10:3:19089026:19090662:1	Protein STRICTOSIDINE SYNTHASE-LIKE 6	81.441	0	896	61	GO:0009058;GO:0016844	IPR011042;IPR018119
GSBRNA2T00090835001	2.490024794	0.029508407	CDY16322	BnaC01g23570D	supercontig:AST_PRJEB5043_v1:LK032062:717348:717988:1	BnaC01g23570D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00090920001	-1.278165898	0.00927628	CDY16383	BnaA02g11870D	supercontig:AST_PRJEB5043_v1:LK032063:292825:297024:1	BnaA02g11870D protein	AT1G65010	NA	chromosome:TAIR10:1:24149208:24154412:1	Putative WEB family protein At1g65010, chloroplastic	81.726	0	872	751	NA	IPR008545
GSBRNA2T00090970001	2.510333576	0.000399643	CDY16419	BnaA02g12230D	supercontig:AST_PRJEB5043_v1:LK032063:540072:541148:-1	BnaA02g12230D protein	AT1G65690	NHL6	chromosome:TAIR10:1:24431417:24433165:-1	NDR1/HIN1-like protein 6	83.699	0	678	NA	NA	IPR004864
GSBRNA2T00090972001	1.111324329	0.012998351	CDY16421	BnaA02g12250D	supercontig:AST_PRJEB5043_v1:LK032063:546854:547729:-1	BnaA02g12250D protein	AT1G65720	NA	chromosome:TAIR10:1:24439652:24441073:-1	At1g65720/F1E22_13	85.135	1.74e-34	147	NA	NA	NA
GSBRNA2T00090988001	3.165955521	0.000192667	CDY16432	BnaA02g12360D	supercontig:AST_PRJEB5043_v1:LK032063:658146:659432:1	RING-type E3 ubiquitin transferase	AT1G66160	PUB20	chromosome:TAIR10:1:24637196:24638608:1	U-box domain-containing protein 20	77.517	0	739	NA	GO:0000151;GO:0004842;GO:0005488;GO:0016567	IPR003613;IPR011989;IPR013083;IPR016024
GSBRNA2T00090994001	4.747978508	3.28e-05	CDY16437	BnaA02g12410D	supercontig:AST_PRJEB5043_v1:LK032063:678945:682213:-1	BnaA02g12410D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0000166;GO:0008152;GO:0016491	IPR002198;IPR002347;IPR016040;IPR020904
GSBRNA2T00090998001	-1.347247785	0.013026378	CDY16439	BnaA02g12430D	supercontig:AST_PRJEB5043_v1:LK032063:701379:703860:-1	Glutamine synthetase	AT1G66200	ATGSR2	chromosome:TAIR10:1:24655115:24657703:-1	Glutamine synthetase	91.604	0	1480	238	GO:0003824;GO:0004356;GO:0006542;GO:0006807	IPR008146;IPR008147;IPR014746;IPR027302;IPR027303
GSBRNA2T00090999001	-1.511647656	0.042903565	CDY16440	BnaA02g12440D	supercontig:AST_PRJEB5043_v1:LK032063:733425:736139:1	BnaA02g12440D protein	AT1G66250	NA	chromosome:TAIR10:1:24692799:24695660:1	Glucan endo-1,3-beta-glucosidase 2	84.381	0	1469	NA	GO:0003824;GO:0005975	IPR000490;IPR012946;IPR013781;IPR017853
GSBRNA2T00091073001	-2.668535279	0.015546979	CDY16484	BnaA08g02830D	supercontig:AST_PRJEB5043_v1:LK032064:370269:370949:1	BnaA08g02830D protein	AT1G49200	ATL75	chromosome:TAIR10:1:18198227:18199168:1	RING-H2 finger protein ATL75	86.463	0	741	42	GO:0005515;GO:0008270	IPR001841;IPR013083
GSBRNA2T00091084001	4.665615982	0.000699617	CDY16490	BnaA08g02770D	supercontig:AST_PRJEB5043_v1:LK032064:432209:434430:1	BnaA08g02770D protein	AT1G49330	NA	chromosome:TAIR10:1:18249866:18251038:1	F13F21.24 protein	80.913	4.4e-104	379	NA	NA	NA
GSBRNA2T00091086001	1.578874123	0.028968381	CDY16492	BnaA08g02750D	supercontig:AST_PRJEB5043_v1:LK032064:442723:445220:1	BnaA08g02750D protein	AT5G13420	NA	chromosome:TAIR10:5:4301792:4304315:-1	Aldolase-type TIM barrel family protein	89.569	0	1674	NA	GO:0003824;GO:0004801;GO:0005737;GO:0005975;GO:0006098	IPR001585;IPR004732;IPR013785;IPR018225
GSBRNA2T00091097001	2.285299256	0.017703642	CDY16499	BnaA08g02680D	supercontig:AST_PRJEB5043_v1:LK032064:488208:489611:1	BnaA08g02680D protein	AT1G49450	NA	chromosome:TAIR10:1:18305445:18307557:1	F13F21.11 protein	83.403	0	1291	391	GO:0005515	IPR001680;IPR015943;IPR017986;IPR020472
GSBRNA2T00091098001	-1.782395039	0.005044192	CDY16500	BnaA08g02670D	supercontig:AST_PRJEB5043_v1:LK032064:498990:499889:1	BnaA08g02670D protein	AT1G49470	NA	chromosome:TAIR10:1:18310428:18311714:1	At1g49470	87.789	0	1055	NA	NA	IPR006904
GSBRNA2T00091112001	-3.495522369	1.5e-08	CDY16509	BnaA08g02580D	supercontig:AST_PRJEB5043_v1:LK032064:598004:600778:1	Peroxidase	AT1G49570	PER10	chromosome:TAIR10:1:18346958:18349049:1	Peroxidase	86.848	0	1027	NA	GO:0004601;GO:0006979;GO:0020037;GO:0055114	IPR000823;IPR002016;IPR010255;IPR019793;IPR019794
GSBRNA2T00091129001	-1.91589168	0.014591154	CDY16521	BnaA08g02460D	supercontig:AST_PRJEB5043_v1:LK032064:706187:707329:1	BnaA08g02460D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0008152;GO:0016787	IPR013094
GSBRNA2T00091153001	-1.815069168	0.018307796	CDY48464	BnaC05g13240D	supercontig:AST_PRJEB5043_v1:LK032775:6090:7099:1	BnaC05g13240D protein	AT1G17100	NA	chromosome:TAIR10:1:5844646:5845661:1	At1g17100	84.195	0	645	NA	NA	IPR006917;IPR011256
